GDP/breakdown at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,Gross fixed capital formation (including Acquisitions less disposals of valuables),"767,056,789","789,243,724","811,525,122","835,122,162","859,729,579","882,213,855","910,110,111","937,984,400","953,218,828","810,074,210","733,428,571","713,857,143","820,428,571","836,142,857","871,285,714","799,142,857","779,428,571","786,000,000","812,293,844","954,975,512","768,589,513","117,205,279","78,836,630","224,472,539","336,690,189","502,480,626","653,191,128","443,677,634","531,986,834","733,316,342","1,075,849,573","1,452,733,986","1,568,609,098","2,147,248,054","2,531,948,902","2,810,681,720","3,265,098,404","3,853,073,736","4,373,128,772","3,939,523,699","3,390,650,246","3,785,563,635","3,263,346,644","3,313,043,625","3,250,887,253","2,989,417,771"
Albania,Changes in inventories,"57,793,232","59,074,883","60,818,843","63,668,482","63,077,388","66,365,511","72,916,268","60,771,768","77,073,456","76,669,259","14,142,857","94,000,000","109,285,714","15,714,286","-123,428,571","11,142,857",0,"-97,857,143","-67,016,491","11,745,514","-225,153,073",,,,,,"-193,711,662","-56,949,168","37,714,183","64,443,508","57,965,509","78,270,636","84,512,426","115,690,073","136,412,221","151,434,089","175,917,789","207,596,871","235,616,526","222,689,626","224,250,311","263,921,170","226,668,273","311,480,727","522,714,453","265,099,966"
Albania,Exports of goods and services,"508,501,251","523,137,162","538,480,502","553,185,620","569,621,270","587,262,561","599,747,151","621,912,220","643,516,286","517,741,716","495,098,223","509,174,644","441,832,335","419,501,686","396,275,855","377,381,357","360,941,472","367,818,673","403,069,861","527,545,705","319,219,632","115,381,750","174,205,532","262,267,655","213,519,656","298,506,375","370,907,436","226,405,064","294,419,853","541,387,236","649,901,747","748,929,533","870,265,861","1,158,723,132","1,605,355,818","1,861,004,116","2,240,928,666","3,007,940,273","3,811,621,425","3,565,190,699","3,869,104,030","4,384,661,092","4,108,848,901","4,530,755,873","3,732,084,593","3,920,975,541"
Albania,Imports of goods and services,"504,595,820","519,031,885","533,991,647","549,392,880","564,865,686","581,508,042","598,313,395","613,947,755","634,434,147","528,366,688","473,812,509","500,031,787","504,546,621","452,501,686","413,132,998","415,238,500","365,227,187","370,532,959","454,344,224","574,690,891","483,123,661","440,661,073","1,341,926,504","1,059,315,626","732,636,454","825,792,160","1,061,341,546","794,577,337","940,736,932","1,103,023,288","1,384,678,209","1,585,227,995","1,969,396,315","2,567,319,216","3,241,790,349","3,872,103,594","4,362,184,954","5,867,275,408","7,269,867,264","6,474,810,404","6,324,209,882","7,315,464,663","6,404,667,594","6,835,366,903","6,243,048,904","5,868,217,511"
Albania,Gross Domestic Product (GDP),"2,265,577,056","2,330,584,860","2,397,526,448","2,466,543,461","2,537,015,817","2,610,110,369","2,685,745,678","2,760,746,397","2,842,275,926","2,372,305,641","2,141,837,051","2,215,474,766","2,280,424,885","2,305,384,485","2,275,736,342","2,324,414,456","2,397,086,883","2,378,194,810","2,460,399,974","2,940,586,487","2,146,815,829","1,597,072,192","1,516,091,306","1,700,549,584","1,880,950,821","2,392,764,887","3,199,642,024","2,224,654,241","2,554,868,837","3,221,670,165","3,487,586,302","3,926,887,597","4,355,865,889","5,561,459,461","7,177,030,365","8,052,079,314","8,896,076,004","10,677,322,220","12,881,352,058","12,044,210,390","11,926,948,284","12,890,873,323","12,319,779,708","12,781,032,867","13,277,963,577","11,541,047,833"
Albania,"Agriculture, hunting, forestry, fishing (ISIC A-B)","864,793,402","889,758,995","915,350,702","941,147,592","969,063,811","996,627,620","1,022,980,841","1,057,872,940","1,084,112,844","896,897,900","835,437,843","833,341,568","839,214,356","912,584,019","874,483,025","933,658,742","946,140,415","916,600,515","899,728,464","1,102,604,964","894,422,384","702,649,133","851,631,176","962,559,168","1,064,676,173","1,353,006,500","1,165,012,172","701,730,328","735,433,728","835,020,547","854,994,369","892,039,491","959,387,052","1,222,309,206","1,473,979,499","1,517,435,147","1,575,352,038","1,831,547,553","2,168,844,594","2,022,753,109","2,141,585,619","2,349,589,254","2,312,028,282","2,509,234,637","2,654,890,185","2,246,426,302"
Albania,"Mining, Manufacturing, Utilities (ISIC C-E)","794,665,515","817,625,694","841,009,277","864,924,791","890,563,577","915,249,547","940,829,093","972,124,733","993,483,439","828,532,376","765,881,710","757,205,753","794,485,919","792,268,727","796,395,710","802,339,998","835,559,339","871,576,510","914,413,487","1,005,124,305","863,604,948","553,996,611","276,537,598","254,839,490","255,045,177","303,497,948","328,096,576","207,636,030","209,136,519","256,181,697","281,143,315","302,033,004","298,012,801","459,173,139","645,825,934","784,425,326","861,239,377","1,002,193,964","1,203,316,881","1,138,813,040","1,432,486,139","1,517,139,921","1,420,420,846","1,610,074,459","1,676,104,440","1,413,785,046"
Albania,Manufacturing (ISIC D),"394,647,786","406,050,295","417,663,130","429,539,992","442,272,785","454,532,595","467,235,377","482,777,882","493,385,987","411,464,971","380,354,207","376,047,385","394,549,214","393,467,139","395,515,949","398,412,055","415,027,346","432,850,606","453,873,784","499,703,014","428,704,447","274,528,621","138,309,945","125,775,315","125,719,469","155,988,530","155,433,263","101,965,734","120,689,616","146,019,874","150,589,639","160,961,687","177,133,979","229,365,194","299,825,869","356,374,257","436,350,501","565,560,820","643,779,238","626,006,894","650,271,788","729,866,711","568,487,378","621,690,341","632,693,605","547,952,848"
Albania,Construction (ISIC F),"239,349,639","246,266,478","253,312,262","260,505,787","268,239,525","275,682,329","283,335,184","292,843,798","299,271,168","249,378,663","230,908,941","228,080,357","238,543,430","240,076,335","239,213,923","238,587,136","260,210,442","254,914,828","263,741,825","357,300,814","206,218,550","153,143,119","167,652,576","223,141,105","262,068,124","356,577,942","227,798,422","195,239,489","182,956,419","276,568,162","395,296,604","551,501,881","708,470,810","878,668,370","1,124,426,141","1,235,173,366","1,390,196,156","1,703,471,495","2,037,763,005","1,801,621,084","1,541,795,023","1,639,114,158","1,403,089,465","1,330,158,604","1,233,218,192","1,195,802,909"
Albania,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","212,298,036","218,254,570","224,562,082","231,376,034","237,145,264","244,599,520","253,080,274","255,311,203","268,387,646","227,235,273","186,818,422","222,147,718","227,736,104","212,349,548","212,423,943","209,396,078","212,964,193","203,583,511","222,688,872","274,250,129","139,189,394","122,145,464","130,402,593","155,793,052","177,094,354","223,341,107","625,299,293","439,101,205","497,629,404","682,986,473","654,547,603","666,791,685","686,356,084","804,117,115","1,002,545,049","1,111,446,453","1,183,077,159","1,425,853,939","1,700,408,136","1,576,531,060","1,515,179,233","1,619,224,570","1,553,848,302","1,610,351,431","1,693,758,841","1,460,647,918"
Albania,"Transport, storage and communication (ISIC I)","45,739,633","47,022,973","48,381,941","49,849,969","51,092,986","52,699,055","54,526,020","55,006,962","57,824,371","48,957,156","40,250,836","47,862,121","49,062,506","45,756,103","45,765,498","45,101,359","45,913,859","43,841,801","47,926,819","59,296,772","29,872,792","26,239,755","28,585,901","32,695,910","38,152,615","51,952,715","114,349,551","102,111,606","143,265,871","198,712,208","196,444,660","277,606,874","300,654,803","357,076,340","523,448,464","616,572,334","692,610,051","899,254,070","1,060,565,779","994,083,408","883,524,370","963,846,253","904,973,760","768,462,650","759,209,975","733,858,332"
Albania,Other Activities (ISIC J-P),"188,952,171","194,253,684","199,867,591","205,932,186","211,067,032","217,701,614","225,249,517","227,235,455","238,873,997","202,245,990","166,275,409","197,719,081","202,688,856","189,004,265","189,062,501","186,354,678","189,580,517","181,171,357","198,143,461","244,331,880","123,746,438","108,632,929","116,621,389","137,645,144","157,674,605","203,110,551","532,941,766","400,164,094","483,100,181","627,139,202","694,106,173","820,454,112","919,826,699","1,169,697,425","1,530,010,619","1,779,029,197","1,996,188,163","2,441,216,687","2,996,891,910","2,887,506,644","2,852,193,299","3,121,961,575","3,079,488,319","3,322,339,921","3,578,112,340","2,998,300,451"
Albania,Total Value Added,"2,345,798,397","2,413,182,393","2,482,483,855","2,553,736,359","2,627,172,195","2,702,559,685","2,780,000,928","2,860,395,091","2,941,953,465","2,453,247,358","2,225,573,162","2,286,356,598","2,351,731,170","2,392,038,998","2,357,344,601","2,415,437,990","2,490,368,765","2,471,688,521","2,546,642,928","3,042,908,865","2,257,054,505","1,666,807,011","1,571,431,233","1,766,673,869","1,954,711,049","2,491,486,764","2,993,497,781","2,045,982,752","2,251,522,121","2,876,608,289","3,076,532,723","3,510,427,047","3,872,708,250","4,891,041,595","6,300,235,705","7,044,081,823","7,698,662,944","9,303,537,708","11,167,790,304","10,421,308,345","10,366,763,682","11,210,875,731","10,673,848,973","11,150,621,701","11,595,293,974","10,048,820,959"
Algeria,Final consumption expenditure,"3,761,949,657","4,073,370,778","5,240,731,774","6,286,330,268","7,575,204,729","9,987,282,720","10,856,084,098","13,561,822,338","16,517,764,413","19,724,272,699","24,124,538,112","26,319,048,574","27,499,420,402","29,432,572,720","33,166,021,272","36,945,989,457","44,533,265,751","43,916,010,359","47,233,474,546","44,221,412,112","45,090,281,483","29,638,017,751","33,588,972,337","37,299,867,886","31,431,928,296","30,542,890,239","31,805,127,824","32,770,992,725","35,094,159,877","33,277,789,481","30,234,809,059","32,034,196,154","33,755,565,805","37,519,515,963","44,655,726,808","46,657,770,810","50,249,379,359","58,488,702,946","74,196,166,781","73,688,577,593","83,097,969,846","103,696,510,707","109,684,113,910","112,834,461,826","119,505,620,673","102,299,901,382"
Algeria,Household consumption expenditure (including Non-profit institutions serving households),"3,075,658,475","3,283,845,033","4,227,999,563","5,150,998,513","6,156,985,600","7,968,930,959","8,635,447,425","10,767,005,675","12,836,748,567","15,187,693,995","18,299,881,651","20,212,434,430","20,822,622,493","22,187,691,933","25,266,262,935","27,807,459,304","33,284,925,208","31,957,012,896","36,220,189,231","34,916,886,975","35,035,025,835","22,698,364,424","25,127,202,349","27,824,291,085","23,903,232,817","23,404,826,058","24,400,709,308","24,802,371,170","26,519,788,286","25,112,061,765","22,791,834,049","23,945,327,845","24,965,176,210","27,473,362,450","32,903,179,475","34,841,139,764","37,105,370,129","42,772,650,392","51,612,593,446","51,535,467,767","55,327,180,143","62,357,632,168","67,207,417,719","72,696,219,150","77,746,353,321","68,068,872,128"
Algeria,General government final consumption expenditure,"686,291,181","789,525,746","1,012,732,211","1,135,331,755","1,418,219,129","2,018,351,761","2,220,636,673","2,794,816,662","3,681,015,846","4,536,578,704","5,824,656,461","6,106,614,145","6,676,797,909","7,244,880,786","7,899,758,337","9,138,530,153","11,248,340,543","11,958,997,464","11,013,285,315","9,304,525,136","10,055,255,648","6,939,653,327","8,461,769,988","9,475,576,801","7,528,695,479","7,138,064,181","7,404,418,517","7,968,621,556","8,574,371,590","8,165,727,716","7,442,975,010","8,088,868,309","8,790,389,595","10,046,153,513","11,752,547,333","11,816,631,046","13,144,009,230","15,716,052,554","22,583,573,335","22,153,109,826","27,770,789,703","41,338,878,539","42,476,696,191","40,138,242,676","41,759,267,353","34,231,029,253"
Algeria,Gross capital formation,"1,707,118,032","1,742,067,720","2,244,082,459","3,387,806,896","5,262,360,793","7,024,899,232","7,641,632,494","9,809,221,484","13,726,504,134","14,078,595,559","16,494,804,238","16,357,841,155","16,785,532,144","18,276,620,517","18,505,370,860","19,181,139,939","21,053,087,048","19,292,503,244","16,519,643,785","16,866,809,381","17,826,064,808","14,390,564,486","14,596,640,991","14,352,721,152","13,302,457,020","13,236,714,481","11,734,818,260","11,181,890,814","13,131,779,333","12,724,029,590","12,840,768,704","15,079,491,271","17,544,290,770","20,590,341,944","28,384,617,680","32,668,852,381","35,307,669,066","46,525,901,831","63,866,085,088","64,319,663,581","66,788,657,989","75,946,869,402","81,723,361,072","91,057,076,872","97,554,172,602","84,271,280,278"
Algeria,Gross fixed capital formation (including Acquisitions less disposals of valuables),"1,580,951,884","1,624,247,817","2,094,509,063","2,997,400,725","4,057,643,557","6,070,527,154","7,531,053,206","9,268,199,816","12,806,671,863","13,073,317,905","14,301,418,475","14,607,918,200","15,567,288,335","16,772,253,649","17,554,762,673","18,450,408,397","21,549,582,288","19,151,527,994","15,510,901,598","15,219,184,655","15,838,840,295","11,680,830,121","12,730,030,014","13,884,310,371","11,624,708,109","11,367,914,170","11,679,620,193","11,057,859,143","12,406,650,248","11,863,492,817","11,329,139,294","12,503,559,645","13,946,813,025","16,346,855,852","20,495,271,691","23,085,774,085","27,110,111,804","35,532,387,390","49,987,662,350","52,464,619,871","58,491,157,944","63,345,775,732","64,388,337,627","71,702,269,417","78,714,846,152","71,102,048,734"
